loss,params,iteration,estimators,train_time
0.103498903,"{'bagging_fraction': 0.353179372940467, 'bagging_freq': 6, 'boosting_type': 'gbdt', 'colsample_bytree': 0.7136779653769435, 'feature_fraction': 0.15756878520954398, 'learning_rate': 0.034850291074388466, 'max_depth': -1, 'metric': 'auc', 'min_child_samples': 265, 'min_data_in_leaf': 94, 'min_sum_hessian_in_leaf': 12.273134307973642, 'num_leaves': 30, 'objective': 'binary', 'reg_alpha': 0.24305516927325665, 'reg_lambda': 0.3253127827088921, 'subsample_for_bin': 162000, 'tree_learner': 'serial', 'verbosity': -1, 'subsample': 0.8226365716155217}",1,1183,282.9393006
0.146788983,"{'bagging_fraction': 0.11571722800265183, 'bagging_freq': 3, 'boosting_type': 'dart', 'colsample_bytree': 0.6958500917893856, 'feature_fraction': 0.007399069550129256, 'learning_rate': 0.026312725515374582, 'max_depth': -1, 'metric': 'auc', 'min_child_samples': 340, 'min_data_in_leaf': 65, 'min_sum_hessian_in_leaf': 8.250502855360363, 'num_leaves': 13, 'objective': 'binary', 'reg_alpha': 0.16000279708048915, 'reg_lambda': 0.20683231577651218, 'subsample_for_bin': 38000, 'tree_learner': 'serial', 'verbosity': -1, 'subsample': 0.7236051016015188}",2,1892,3387.547398
0.103213562,"{'bagging_fraction': 0.8922578121814408, 'bagging_freq': 6, 'boosting_type': 'dart', 'colsample_bytree': 0.6079303836630393, 'feature_fraction': 0.8530408288280372, 'learning_rate': 0.014982418754854588, 'max_depth': -1, 'metric': 'auc', 'min_child_samples': 175, 'min_data_in_leaf': 92, 'min_sum_hessian_in_leaf': 10.996114065543676, 'num_leaves': 16, 'objective': 'binary', 'reg_alpha': 0.5258374652847864, 'reg_lambda': 0.9751239045235042, 'subsample_for_bin': 100000, 'tree_learner': 'serial', 'verbosity': -1, 'subsample': 0.8320252978894035}",3,10000,39164.13369
0.101936495,"{'bagging_fraction': 0.6419307449664439, 'bagging_freq': 5, 'boosting_type': 'gbdt', 'colsample_bytree': 0.7894816813298684, 'feature_fraction': 0.19721701418136595, 'learning_rate': 0.0165265191454532, 'max_depth': -1, 'metric': 'auc', 'min_child_samples': 125, 'min_data_in_leaf': 71, 'min_sum_hessian_in_leaf': 9.393791281601622, 'num_leaves': 48, 'objective': 'binary', 'reg_alpha': 0.47827923423293384, 'reg_lambda': 0.0627262749115356, 'subsample_for_bin': 244000, 'tree_learner': 'serial', 'verbosity': -1, 'subsample': 0.6778711248241811}",4,3001,1235.345987
0.109234622,"{'bagging_fraction': 0.6672659489041175, 'bagging_freq': 4, 'boosting_type': 'dart', 'colsample_bytree': 0.6483181285858916, 'feature_fraction': 0.048311502126029304, 'learning_rate': 0.16283064582392232, 'max_depth': -1, 'metric': 'auc', 'min_child_samples': 185, 'min_data_in_leaf': 99, 'min_sum_hessian_in_leaf': 11.595695663123198, 'num_leaves': 39, 'objective': 'binary', 'reg_alpha': 0.2092981310373776, 'reg_lambda': 0.8946886330215067, 'subsample_for_bin': 110000, 'tree_learner': 'serial', 'verbosity': -1, 'subsample': 0.549712244652617}",5,696,1980.210562
0.115642607,"{'bagging_fraction': 0.2544512652076899, 'bagging_freq': 9, 'boosting_type': 'gbdt', 'colsample_bytree': 0.7787511796589985, 'feature_fraction': 0.8325167772305825, 'learning_rate': 0.15829400879293296, 'max_depth': -1, 'metric': 'auc', 'min_child_samples': 315, 'min_data_in_leaf': 82, 'min_sum_hessian_in_leaf': 12.254037716920926, 'num_leaves': 16, 'objective': 'binary', 'reg_alpha': 0.6973850664922018, 'reg_lambda': 0.9186129975097138, 'subsample_for_bin': 216000, 'tree_learner': 'serial', 'verbosity': -1, 'subsample': 0.9753359556923717}",6,281,112.1776881
0.119729382,"{'bagging_fraction': 0.2179587586713716, 'bagging_freq': 7, 'boosting_type': 'gbdt', 'colsample_bytree': 0.71496460916878, 'feature_fraction': 0.008223005458987354, 'learning_rate': 0.07225352897908348, 'max_depth': -1, 'metric': 'auc', 'min_child_samples': 420, 'min_data_in_leaf': 52, 'min_sum_hessian_in_leaf': 11.996054066860564, 'num_leaves': 16, 'objective': 'binary', 'reg_alpha': 0.7926928706035059, 'reg_lambda': 0.37338116932867904, 'subsample_for_bin': 82000, 'tree_learner': 'serial', 'verbosity': -1, 'subsample': 0.683637100882487}",7,2120,208.3760662
0.11376808,"{'bagging_fraction': 0.2920991994644212, 'bagging_freq': 3, 'boosting_type': 'dart', 'colsample_bytree': 0.7656879707848275, 'feature_fraction': 0.028065254738486423, 'learning_rate': 0.09300560371484937, 'max_depth': -1, 'metric': 'auc', 'min_child_samples': 215, 'min_data_in_leaf': 83, 'min_sum_hessian_in_leaf': 9.480258323870002, 'num_leaves': 29, 'objective': 'binary', 'reg_alpha': 0.19410292318439426, 'reg_lambda': 0.5099485723619978, 'subsample_for_bin': 42000, 'tree_learner': 'serial', 'verbosity': -1, 'subsample': 0.88250755719291}",8,792,1686.997097
0.110871964,"{'bagging_fraction': 0.5102779817750797, 'bagging_freq': 0, 'boosting_type': 'gbdt', 'colsample_bytree': 0.9377542588688907, 'feature_fraction': 0.7663737209765067, 'learning_rate': 0.1307760243934061, 'max_depth': -1, 'metric': 'auc', 'min_child_samples': 90, 'min_data_in_leaf': 59, 'min_sum_hessian_in_leaf': 11.257579242849854, 'num_leaves': 33, 'objective': 'binary', 'reg_alpha': 0.8695100073452218, 'reg_lambda': 0.44076667329472063, 'subsample_for_bin': 100000, 'tree_learner': 'serial', 'verbosity': -1, 'subsample': 0.5841345483626921}",9,372,393.8579614
0.10135407,"{'bagging_fraction': 0.7167750872569865, 'bagging_freq': 6, 'boosting_type': 'gbdt', 'colsample_bytree': 0.8910899560384806, 'feature_fraction': 0.7627003387912878, 'learning_rate': 0.012905306798742007, 'max_depth': -1, 'metric': 'auc', 'min_child_samples': 240, 'min_data_in_leaf': 95, 'min_sum_hessian_in_leaf': 12.169686210442862, 'num_leaves': 11, 'objective': 'binary', 'reg_alpha': 0.18384929026317198, 'reg_lambda': 0.11648041596557968, 'subsample_for_bin': 136000, 'tree_learner': 'serial', 'verbosity': -1, 'subsample': 0.6658484545666271}",10,6327,2771.098981
0.108338842,"{'bagging_fraction': 0.2549375601549968, 'bagging_freq': 5, 'boosting_type': 'gbdt', 'colsample_bytree': 0.8701743821726167, 'feature_fraction': 0.9664237615829107, 'learning_rate': 0.052646190841334435, 'max_depth': -1, 'metric': 'auc', 'min_child_samples': 330, 'min_data_in_leaf': 66, 'min_sum_hessian_in_leaf': 12.01775609021628, 'num_leaves': 25, 'objective': 'binary', 'reg_alpha': 0.6951669467700021, 'reg_lambda': 0.7864099347848991, 'subsample_for_bin': 226000, 'tree_learner': 'serial', 'verbosity': -1, 'subsample': 0.8428648131701375}",11,689,387.6673793
0.10139687,"{'bagging_fraction': 0.7827267235670738, 'bagging_freq': 2, 'boosting_type': 'dart', 'colsample_bytree': 0.8383451632640806, 'feature_fraction': 0.09710918889723463, 'learning_rate': 0.024768003652090212, 'max_depth': -1, 'metric': 'auc', 'min_child_samples': 195, 'min_data_in_leaf': 72, 'min_sum_hessian_in_leaf': 12.722260641513241, 'num_leaves': 16, 'objective': 'binary', 'reg_alpha': 0.2878847550683644, 'reg_lambda': 0.01708657132205149, 'subsample_for_bin': 260000, 'tree_learner': 'serial', 'verbosity': -1, 'subsample': 0.6932433929581199}",12,8064,22578.19432
0.107554035,"{'bagging_fraction': 0.24353001338110647, 'bagging_freq': 5, 'boosting_type': 'dart', 'colsample_bytree': 0.8923931969371452, 'feature_fraction': 0.7916261846170262, 'learning_rate': 0.055447027994085955, 'max_depth': -1, 'metric': 'auc', 'min_child_samples': 490, 'min_data_in_leaf': 55, 'min_sum_hessian_in_leaf': 9.297034782847978, 'num_leaves': 35, 'objective': 'binary', 'reg_alpha': 0.49453959595285535, 'reg_lambda': 0.710104504479757, 'subsample_for_bin': 108000, 'tree_learner': 'serial', 'verbosity': -1, 'subsample': 0.8625182282020237}",13,1742,7122.514224
0.110163628,"{'bagging_fraction': 0.27348596396496894, 'bagging_freq': 2, 'boosting_type': 'gbdt', 'colsample_bytree': 0.9439197956181936, 'feature_fraction': 0.28077896925863643, 'learning_rate': 0.07077482010138213, 'max_depth': -1, 'metric': 'auc', 'min_child_samples': 180, 'min_data_in_leaf': 52, 'min_sum_hessian_in_leaf': 11.545233101476578, 'num_leaves': 38, 'objective': 'binary', 'reg_alpha': 0.09246365868779627, 'reg_lambda': 0.06797899074624525, 'subsample_for_bin': 198000, 'tree_learner': 'serial', 'verbosity': -1, 'subsample': 0.9386843472013491}",14,497,188.9526968
0.103352331,"{'bagging_fraction': 0.3831250415580332, 'bagging_freq': 2, 'boosting_type': 'gbdt', 'colsample_bytree': 0.8751937106365857, 'feature_fraction': 0.9607903361585046, 'learning_rate': 0.04164205542618719, 'max_depth': -1, 'metric': 'auc', 'min_child_samples': 270, 'min_data_in_leaf': 79, 'min_sum_hessian_in_leaf': 8.210933398196165, 'num_leaves': 12, 'objective': 'binary', 'reg_alpha': 0.3495353566433447, 'reg_lambda': 0.7322076218609856, 'subsample_for_bin': 26000, 'tree_learner': 'serial', 'verbosity': -1, 'subsample': 0.9205092213040854}",15,1496,603.6387793
0.120070856,"{'bagging_fraction': 0.22344426140462414, 'bagging_freq': 7, 'boosting_type': 'dart', 'colsample_bytree': 0.6635013572355111, 'feature_fraction': 0.8102981353850279, 'learning_rate': 0.19924358094403213, 'max_depth': -1, 'metric': 'auc', 'min_child_samples': 70, 'min_data_in_leaf': 82, 'min_sum_hessian_in_leaf': 9.61430779744224, 'num_leaves': 33, 'objective': 'binary', 'reg_alpha': 0.9111704156592371, 'reg_lambda': 0.9368908904967196, 'subsample_for_bin': 90000, 'tree_learner': 'serial', 'verbosity': -1, 'subsample': 0.6032644580447603}",16,385,1053.164676